"","subject","totalBonus","q1","q10","q11","q12","q2","q3","q4","q5","q6","q7","q8","q9"
"32",32,4.26,"sometimes","often","I only focus on the goal and go the short way.","yes","To use the shortest route to the destination.","often","Shortest path for the destination.","often","sometimes","sometimes","often","always"
"33",33,4.72,"often","often","It depended on the location. I could generally see which way was the shortest.","yes","I did a brief estimation of how many moves each turn would take. The maps were simply so it was fairly easy to do so quickly.","often","I could plan out the route by using counting strategies.","never","never","never","never","never"
"34",34,4.64,"never","never","the one that was closest to the route i had chosen","yes","I did not use counting strategy","always","Visual perception of the shortest distance","always","rarely","rarely","always","often"
"35",35,4.29,"never","always","I choose the one that was closer to the goal.","yes","didnt use that","rarely","was hard to tell sometimes, but I just checked which route was shorter.","always","never","never","always","always"
"36",36,4.55,"sometimes","always","Whichever was closest","yes","I usually just guestimated.","rarely","I looked at which route looked shorter","always","always","always","always","always"
"37",37,4.72,"rarely","often","Just went with my gut.","yes","I used it once but only because I went sort of cross eyed and saw the board wrong.","rarely","Just went with my gut. the majority of them were dead simple.","always","often","often","always","often"
"38",38,4.52,"sometimes","often","guessing","yes","counting the box","sometimes","counting","often","always","often","always","often"
"39",39,4.54,"never","always","I would go to the gate that seemed closer to me or closer to the goal.","yes","I did not count","sometimes","I just looked to see if one direction looked shorter and took the route. I was right most times.","always","always","always","always","always"
"40",40,4.44,"often","often","am select nereast way","yes","movement low point am manage","often","very easy","sometimes","sometimes","rarely","often","often"
"41",41,3.75,"sometimes","sometimes","most of the paths are available.","no","easy to find this.","sometimes","i have reached the goal.","sometimes","often","sometimes","sometimes","often"
"42",42,4.39,"never","rarely","usually the one closest to goal, sometimes the one most similar to my opening position","yes","did not use, to tedious","always","feelings only","always","sometimes","sometimes","always","always"
"43",43,4.43,"never","rarely","The one with the fewest amount of steps leading from the goal and to it.","yes","I did not use them.","always","Based on looks and how I felt about the best route with the fewest steps. No counting involved.","often","rarely","rarely","often","never"
"44",44,4.45,"rarely","always","minimal space","yes","general count if similar distances","sometimes","minimal steps","always","rarely","rarely","always","always"
"45",45,4.62,"never","always","I tried to determine the shortest amount of steps to each gate.","yes","I did not use a counting strategy.","often","I tried to estimate the shortest distance to the target.","always","always","always","always","always"
"46",46,4.63,"always","often","it is easy study","yes","it is easy study","sometimes","it is easy study","sometimes","often","always","often","often"
"47",47,3.83,"rarely","always","shortest route","yes","none","always","quick scan of blocks","always","always","always","always","always"
"48",48,4.74,"never","sometimes","whichever was closest to the goal","yes","n/a","rarely","just eyeing it","often","often","often","often","sometimes"
"49",49,4.55,"rarely","always","Sprite starting proximity to the gate and where the goal was in relation to the gate.","yes","I counted a few blocks in the beginning, but it took too long.","often","I looked at where I was starting, where the openings were, and where the goal was. I play lots of runescape so I'm used to repetitive path finding lol.","always","sometimes","often","always","always"
"50",50,4.73,"sometimes","sometimes","I looked at the two different routes I could take.  Then I tried to see the difference in the amount of steps it would take for each route.","yes","If I saw the two paths as were not even, I would count how many steps each path would take me. For instance, if I saw the wall was evenly spaced then I wouldn't count.","sometimes","If when I first looked at the game and saw that the wall separating was unevenly spaced out, I tried to count and see the difference between the two routes.","often","always","often","sometimes","sometimes"
"51",51,4.47,"never","sometimes","Choose the one close to the goal.","yes","I don't use counting strategy.","never","Just glance for one second to make decision","never","never","never","always","sometimes"
"52",52,4.46,"rarely","often","the closest one from where i started","yes","when it was difference of 1-2","often","I visually did the route in my head","always","rarely","always","always","always"
"53",53,3.79,"sometimes","sometimes","The one closest to the goal.","yes","To know the number of steps I took.","always","the route closest to the started point.","sometimes","always","rarely","often","sometimes"
"54",54,4.6,"sometimes","sometimes","Route without doubling back","yes","I started out in the beginning counting the steps for each way, and then towards the end, I went with my gut about which looked shorter.","sometimes","I followed the walls and went for shortest route without too much doubling back.","always","rarely","rarely","always","sometimes"
"55",55,4.6,"rarely","often","I just sized it out in my head; if I made a mistake I usually knew right away. When the goal was flat against the end I was sometimes tricked into thinking that row was closed off.","yes","I tried a couple of times but it was too hard.","always","I guess I used intuition since I did not count.","always","often","sometimes","often","often"
"56",56,4.71,"never","often","Which ever was reached first","yes","N/A","sometimes","I made sure to find the fastest route to move vertically to get to my goal","always","often","sometimes","always","often"
"57",57,4.32,"never","always","I picked the one that I thought would have required less moves","yes","I didn't use it","often","I relied on my eye-measuring skill","always","always","often","always","often"
"58",58,4.67,"never","never","check if more blocks for both were higher or lower","yes","n/a","never","i just did everything instinctively. it wasn't worth the time to plan out each course.","always","always","always","always","always"
"59",59,4.48,"never","always","I chose which gate to go through by looking at how many steps were involved both vertically and horizontally using each gate.","yes","I didn't use a counting strategy during this game. I made an educated guess about which route was most efficient.","often","I came up with the route I took to reach the goal by comparing to other possible routes I saw and determining if it was a better route to take.","always","often","often","always","always"
"60",60,4.41,"sometimes","often","i would work my self around it","yes","i counted the blocks if it look to close","always","i could tell by just looking","sometimes","sometimes","rarely","always","always"
"61",61,4.54,"never","always","I choose the one that didn't double-back on paths I already took.","yes","If I did use a counting strategy, it would be for the smaller maps or for when weighing the options of different paths to take.","always","My route should never double back, It also had the sprite touching the walls for the entire route.","often","always","often","always","always"
"62",62,3.45,"always","often","TO MOVE A SCHOT CUTS","yes","ALL TIMES USING KEY","always","USING KEY BOARD WITYH OUT MOUSE","always","always","always","often","always"
"63",63,4.36,"rarely","always","Whichever looked like the shortest path","yes","N/A","always","By visually examining the grid and seeing which path looked shortest.","always","sometimes","sometimes","always","often"
"64",64,4.5,"often","often","Minimum Steps count","yes","Eye Measurements","sometimes","Awesome","often","always","often","often","always"
"65",65,4.36,"never","always","The fewest moves to get to the goal.","yes","I used intuition on the one that I thought would be quicker.","never","I used intuition on the one that I thought would be quicker.","always","always","always","always","always"
"66",66,4.72,"never","often","It was usually the one closer to the edge of the second wall that I traveled through.","yes","no counting","often","I took the route that I thought looked shorter.","always","often","never","never","often"
"67",67,4.36,"always","often","I did quick math to see which gate would take less steps.","yes","I counted each route and tried to choose the quickest and shortest one.","often","I looked at all my options and did my best to pick the shortest route.","always","often","often","always","often"
"68",68,4.2,"often","often","I chose which one felt and looked shorter","yes","I traced the route with my finger and noticed which one laster less time to finish.","always","I traced the route with my finger and noticed which one laster less time to finish and I looked at the whole map and how long each route looked visually.","always","sometimes","sometimes","always","sometimes"
"69",69,4.72,"rarely","sometimes","The one the goal was closest to.","yes","I only used it a couple times when it seemed really, really close and you could not visually tell. Mostly when it was near a corner.","rarely","You could kind of tell by estimating just by looking at it.","sometimes","sometimes","often","sometimes","often"
"70",70,4.45,"often","often","short way we find all time","yes","short way we find all time","often","short way we find all time","often","sometimes","often","often","often"
"71",71,4.38,"never","always","Whichever gate was closest to the goal was the one I took.","yes","I didn't count at all.","never","I observed what I thought was the shortest path and guessed intuitively. I was correct most times unless I made a mistake so I kept doing it until the end.","always","often","never","always","always"
"72",72,4.76,"never","often","The same way I chose how to reach a goal with no gates, I measured the distances of the left and right of one gate and compared it to the other gates before deciding where I would move the sprite first.","yes","I never counted.","rarely","I looked at the area around the goal and ""measured"" the size of the squares to the left and right of it and compared it to my starting area in order to choose which direction I started to go first. Afterwards, it was easy to choose where to go next.","always","always","sometimes","always","often"
"73",73,4.76,"never","always","I visualized the both gates and the path through each, I didn't count but just chose one which looked shorter in my mind","yes","I never counted","always","There were usually only two real choices so I just visualized each and chose the shorter looking one.  Many times the different routes had the same length.","always","sometimes","sometimes","often","often"
"74",74,4.44,"never","often","Which gate the goal was closest to","yes","I never counted","always","estimating the starting point and end point and determining the best path in my head","always","always","always","always","always"
"75",75,4.54,"never","often","I considered how much backtracking i'd need to do to get to the the goal and then went with the one that appeared the shortest.","yes","I didn't. I just used my intuition.","rarely","Eyeballing it to see if it appeared shorter","always","sometimes","sometimes","always","always"
"76",76,4.62,"never","always","I chose the gate was visually closer to the sprite.","yes","I did not use a counting strategy.","sometimes","I chose the path that visually appeared to be shorter.","always","always","often","sometimes","never"
"77",77,4.04,"never","sometimes","intution","yes","none","never","guessing","never","never","never","never","rarely"
"78",78,4.61,"rarely","sometimes","depended how close it was to the target","yes","I went based on the target starting point","always","it depended on the starting location","often","sometimes","sometimes","often","often"
"79",79,4.53,"never","sometimes","Whichever one lead to the shortest amount of moves","yes","N/A","often","I tried to gauge which route was shortest","often","often","often","often","often"
"80",80,4.65,"sometimes","rarely","I went through the gate that I passed by first.","yes","I counted how many were to the left and right of my starting point when it wasn't right in the middle and then counted how many turns I would have to take.","always","Just visually looking at the shortest route with the least amount of turns.","always","rarely","often","always","always"
"81",81,4.66,"never","always","The one with the shortest route to the gate.","yes","I didn't use a counting strategy.  I could tell the shortest distance usually.  I did get a couple wrong.","always","I could visualize the shortest distance, and then take it.  Once again, I was wrong a couple times.","always","always","always","always","always"
"82",82,4.69,"rarely","always","I chose the one closest to the side I was on.","yes","I tried to process how many steps each route would take, but very quickly.","often","I just eyed out how many steps it would take.","always","always","always","always","often"
"83",83,3.97,"never","rarely","I simply chose whichever seems the closest to the goal.","yes","N/A","often","I estimated the distance required to reach the goal depending on whether I headed north or south from the starting point and simply went with the shortest route.","often","rarely","never","always","often"
"84",84,4,"never","never","The fastest one","yes","It's not that valuable","sometimes","Based on the fastest","sometimes","often","often","sometimes","often"
"85",85,4.48,"rarely","always","i looked at the destination of my goal before deciding the gate to go through.","yes","none","always","i looked at destination of my goal","sometimes","sometimes","sometimes","always","always"
"86",86,4.53,"never","always","i went through the gate that was the shortest distance to the goal","yes","n/a","rarely","it was mostly intuitive. i would just look and know the shortest route","always","always","always","always","always"
"87",87,4.57,"never","sometimes","shorter visual distance","yes","n/a","always","eyeballing, visual estimation","always","sometimes","sometimes","always","sometimes"
"88",88,4.8,"rarely","always","Whichever one lead to the least number of moves, given the route I was planning.","yes","I only really used it once, just out of curiosity. I feel like most of them were pretty obvious and doing a rough visual estimate worked just as well without taking up so much time.","always","I just did a quick scan and decided on what looked like the fastest route ahead of time, then followed it.","always","always","always","always","always"
"89",89,4.41,"sometimes","always","Whichever one was closer in relation to the sprite's starting point.","yes","When more than one path looked similar in length I used the counting method.","sometimes","Whichever route looked shorter.","always","always","always","always","always"
"90",90,4.59,"never","never","yes","yes","no","never","quickly think","always","sometimes","sometimes","often","sometimes"
"91",91,4.02,"never","rarely","I picked the one that I got to first.","yes","I did not use a counting strategy.","always","I just eyeballed it and picked what seemed short in my head","sometimes","sometimes","sometimes","often","sometimes"
"92",92,4.6,"rarely","always","I picked whichever one was faster.","yes","I would briefly look at the map and quickly decide which route to go.","always","I looked at the puzzle and decided quickly which route was the fastest.","always","always","always","always","always"
"93",93,4.57,"never","always","The one that was nearest to the same level I was on the opposite side was the one that I looked at first most of the time. Then I looked at that opening's relation to the goal.","yes","I didn't, I just eyeballed it and went off my initial impression.","rarely","Most of the time I looked for which entrance on the other side was closest to where I started.","always","often","always","always","always"
"94",94,4.53,"never","always","least amount of steps needed to take.","yes","I went with common sense.","sometimes","Looked at the squares and determined which way I should start.","always","always","always","always","always"
"95",95,2.89,"never","often","good","yes","good","sometimes","good","rarely","sometimes","rarely","sometimes","often"
"96",96,4.51,"never","often","I tried to find a way not to double back in space moving.","yes","I just looked and try to make a quick decision. I think i missed on 6 or 7.","always","It was first if the target is more up or down. Then the opening and last the starting point.","always","rarely","rarely","always","always"
"97",97,4.58,"never","often","How far away the up/down movement was in comparison to the goal.","yes","I didn't count any boxes.","often","I tried to look at the most closest route possible.","always","sometimes","never","always","always"
"98",98,3.53,"always","always","Here Jesus is also demanding from his disciples to make a choice. true way, but also the hard and difficult way which through the narrow gate will lead to life. to put one's trust totally in God, are all part of the hard way and the narrow gate.","yes","In my opinion, teachers should always begin with addition. Addition will provide students with the basic knowledge that they will use later on for subtraction, multiplication and division. Students should practice, practice, practice addition as much as possible… definitely every day.","often","Write down your goal. Get your goal out of your imagination and on to a piece of paper.","often","always","always","often","always"
"99",99,4.61,"rarely","always","I went to the one I that I could get to in the least moves or the one closest to the goal","yes","I did it once on one of the first ten puzzles, but it took too long so I didn't do it on any of the others.","often","I just tried to guesstimate which route would be shortest.","always","often","often","always","always"
"100",100,4.63,"never","always","Whichever was closest to the starting point.","yes","I did not count.","always","I looked at the difference in the position from center of the starting point and end point/gap in wall.","always","never","never","often","always"
